                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8417,                  7.634,                 1.8766,                0.00139,                0.83333,                0.07661,                0.02914,                 1.7027,                 5.1579,                 2.1452,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.0289,                  5.703,                 3.2059,                0.00139,                0.83333,                0.05783,                0.02075,                 1.6812,                 5.1199,                 2.1078,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.2909,                 4.1597,                    2.6,                0.00139,                0.83333,                0.07005,                 0.0188,                 1.6762,                 5.0621,                 2.1395,             0.00032654,             0.00032654,             0.00032654
                      4,                 2.6493,                  5.197,                 2.6665,                0.00139,                0.83333,                0.07005,                 0.0188,                 1.6762,                 5.0621,                 2.1395,             0.00043268,             0.00043268,             0.00043268
                      5,                 2.4196,                 6.6032,                 2.5165,                0.00139,                0.83333,                0.08001,                0.02801,                 1.6846,                 5.2746,                 2.1688,             0.00053406,             0.00053406,             0.00053406
                      6,                  2.573,                 6.4187,                 2.9185,                0.00139,                0.83333,                0.08001,                0.02801,                 1.6846,                 5.2746,                 2.1688,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.9873,                 4.1392,                 2.3672,                0.00167,                      1,                0.04888,                0.03493,                 1.3239,                 5.8661,                 1.9634,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.7156,                 3.5285,                 2.0175,                0.00167,                      1,                0.04888,                0.03493,                 1.3239,                 5.8661,                 1.9634,             0.00080972,             0.00080972,             0.00080972
                      9,                 2.2182,                 5.4129,                 2.0667,                0.00139,                0.83333,                0.12186,                 0.0221,                 3.2433,                 9.2655,                 4.0814,              0.0008921,              0.0008921,              0.0008921
                     10,                   1.93,                 3.9589,                 2.1138,                0.00139,                0.83333,                0.12186,                 0.0221,                 3.2433,                 9.2655,                 4.0814,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.9023,                  4.888,                 2.2315,                0.00139,                0.83333,                0.12186,                 0.0221,                 3.2433,                 9.2655,                 4.0814,              0.0010426,              0.0010426,              0.0010426
                     12,                 2.1045,                 3.8809,                 2.4273,                0.00139,                0.83333,                0.12186,                 0.0221,                 3.2433,                 9.2655,                 4.0814,              0.0011107,              0.0011107,              0.0011107
                     13,                 2.0854,                  4.155,                  2.025,                0.00139,                0.83333,                0.12186,                 0.0221,                 3.2433,                 9.2655,                 4.0814,              0.0011741,              0.0011741,              0.0011741
                     14,                 2.0501,                 6.8033,                 2.2746,                0.19024,                0.66667,                0.17315,                0.04293,                  2.388,                 12.788,                 3.5542,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.8258,                 8.4901,                 2.0261,                0.19024,                0.66667,                0.17315,                0.04293,                  2.388,                 12.788,                 3.5542,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.8234,                 3.8887,                 2.1801,                0.19024,                0.66667,                0.17315,                0.04293,                  2.388,                 12.788,                 3.5542,              0.0013357,              0.0013357,              0.0013357
                     17,                 1.9803,                 4.8676,                  2.339,                0.19024,                0.66667,                0.17315,                0.04293,                  2.388,                 12.788,                 3.5542,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9827,                 4.3372,                 2.3183,                0.19024,                0.66667,                0.17315,                0.04293,                  2.388,                 12.788,                 3.5542,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.6188,                 4.5348,                 2.7936,                0.00167,                      1,                0.01616,                0.00293,                 2.6229,                 6.6957,                 3.5041,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8316,                 4.1104,                 2.1555,                0.00167,                      1,                0.01616,                0.00293,                 2.6229,                 6.6957,                 3.5041,              0.0012476,              0.0012476,              0.0012476
                     21,                   1.79,                 7.8033,                 1.8655,                0.00167,                      1,                0.01616,                0.00293,                 2.6229,                 6.6957,                 3.5041,               0.001208,               0.001208,               0.001208
                     22,                 1.4182,                 5.1607,                 1.6599,                0.00167,                      1,                0.01616,                0.00293,                 2.6229,                 6.6957,                 3.5041,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.8729,                 3.8781,                 2.1635,                0.00167,                      1,                0.01616,                0.00293,                 2.6229,                 6.6957,                 3.5041,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7051,                 4.0908,                 2.1583,                0.06658,                0.66667,                0.12374,                0.03879,                 2.0962,                 6.6792,                 2.8659,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5587,                 4.2717,                 2.1643,                0.06658,                0.66667,                0.12374,                0.03879,                 2.0962,                 6.6792,                 2.8659,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.8809,                 3.8066,                 2.2559,                0.06658,                0.66667,                0.12374,                0.03879,                 2.0962,                 6.6792,                 2.8659,                0.00101,                0.00101,                0.00101
                     27,                 1.8959,                 3.7479,                 2.1794,                0.06658,                0.66667,                0.12374,                0.03879,                 2.0962,                 6.6792,                 2.8659,              0.0009704,              0.0009704,              0.0009704
