                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2813,                 8.5307,                  2.454,                0.00139,                0.83333,                0.08075,                0.03487,                 1.6953,                 5.1281,                 2.1519,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2296,                 9.5865,                 2.2852,                0.00139,                0.83333,                0.07487,                 0.0229,                 1.6545,                 5.0444,                 2.0929,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.1442,                 6.5571,                 2.8523,                0.00139,                0.83333,                0.45795,                0.19395,                 1.5059,                 6.4432,                 1.9115,             0.00032654,             0.00032654,             0.00032654
                      4,                  3.024,                 8.6335,                 3.4449,                0.00139,                0.83333,                0.45795,                0.19395,                 1.5059,                 6.4432,                 1.9115,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.5887,                 8.7339,                 1.5995,                0.00139,                0.83333,                0.45959,                0.24141,                 1.5466,                 5.9682,                 1.8378,             0.00053406,             0.00053406,             0.00053406
                      6,                 2.3856,                 9.0797,                 2.3597,                0.00139,                0.83333,                0.45959,                0.24141,                 1.5466,                 5.9682,                 1.8378,              0.0006307,              0.0006307,              0.0006307
                      7,                 2.1265,                 8.6318,                 2.5462,                0.00139,                0.83333,                0.35722,                0.16659,                 1.6111,                 5.6271,                 1.8842,             0.00072258,             0.00072258,             0.00072258
                      8,                  1.927,                  9.667,                 2.3626,                0.00139,                0.83333,                0.35722,                0.16659,                 1.6111,                 5.6271,                 1.8842,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.9466,                 8.0399,                 2.2861,                0.00139,                0.83333,                 0.0518,                0.01486,                 2.4035,                 6.5875,                 3.4524,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.3853,                 8.3387,                 1.7603,                0.00139,                0.83333,                 0.0518,                0.01486,                 2.4035,                 6.5875,                 3.4524,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.4848,                 7.3067,                 2.1257,                0.00139,                0.83333,                 0.0518,                0.01486,                 2.4035,                 6.5875,                 3.4524,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.2265,                 8.4708,                 1.6688,                0.00139,                0.83333,                 0.0518,                0.01486,                 2.4035,                 6.5875,                 3.4524,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.4805,                 10.147,                 1.8446,                0.00139,                0.83333,                 0.0518,                0.01486,                 2.4035,                 6.5875,                 3.4524,              0.0011741,              0.0011741,              0.0011741
                     14,                 1.7535,                 6.9848,                 2.3529,                0.00167,                      1,                0.17488,                0.05691,                 1.8388,                 8.1797,                 2.3707,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.3627,                 8.5008,                 1.9533,                0.00167,                      1,                0.17488,                0.05691,                 1.8388,                 8.1797,                 2.3707,              0.0012866,              0.0012866,              0.0012866
