                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7823,                  55.55,                 5.3892,                0.00303,                0.90909,                0.01181,                0.00288,                 2.6191,                 12.466,                 2.8846,                 0.0001,                 0.0001,                 0.0001
                      2,                 4.1037,                 31.216,                 4.7385,                0.00303,                0.90909,                 0.0173,                0.00499,                 2.6999,                 12.501,                 2.9972,             0.00021274,             0.00021274,             0.00021274
                      3,                 4.6238,                 41.013,                 5.0891,                0.00303,                0.90909,                0.03121,                0.00621,                 2.6935,                 12.663,                 3.3133,             0.00031756,             0.00031756,             0.00031756
                      4,                 3.6107,                 35.946,                 4.0829,                0.00303,                0.90909,                0.03121,                0.00621,                 2.6935,                 12.663,                 3.3133,             0.00041446,             0.00041446,             0.00041446
                      5,                 4.5163,                  56.46,                 5.3629,                0.00273,                0.81818,                0.04121,                0.00771,                 2.7817,                 12.514,                 3.5789,             0.00050344,             0.00050344,             0.00050344
                      6,                 4.8742,                 42.384,                 5.2589,                0.00273,                0.81818,                0.04121,                0.00771,                 2.7817,                 12.514,                 3.5789,              0.0005845,              0.0005845,              0.0005845
                      7,                 2.6486,                 24.638,                 3.9926,                0.00273,                0.81818,                0.00941,                0.00224,                 3.0826,                 12.645,                 4.1564,             0.00065764,             0.00065764,             0.00065764
                      8,                 2.8881,                 33.138,                 4.3232,                0.00273,                0.81818,                0.00941,                0.00224,                 3.0826,                 12.645,                 4.1564,             0.00072286,             0.00072286,             0.00072286
                      9,                 5.0183,                 51.162,                 5.1687,                0.00242,                0.72727,                0.00373,                0.00049,                 3.1469,                 13.493,                 4.2558,             0.00078016,             0.00078016,             0.00078016
                     10,                 4.8459,                 54.487,                 4.9143,                0.00242,                0.72727,                0.00373,                0.00049,                 3.1469,                 13.493,                 4.2558,             0.00082954,             0.00082954,             0.00082954
                     11,                  4.333,                 39.721,                 4.6207,                0.00242,                0.72727,                0.00373,                0.00049,                 3.1469,                 13.493,                 4.2558,               0.000871,               0.000871,               0.000871
                     12,                 4.6395,                 58.443,                 4.5919,                0.00242,                0.72727,                0.00373,                0.00049,                 3.1469,                 13.493,                 4.2558,             0.00090454,             0.00090454,             0.00090454
                     13,                 4.2906,                 32.439,                 5.0817,                0.00242,                0.72727,                0.00373,                0.00049,                 3.1469,                 13.493,                 4.2558,             0.00093016,             0.00093016,             0.00093016
                     14,                 4.1674,                 36.073,                 4.9106,                0.00152,                0.45455,                0.00125,                0.00023,                 3.4613,                 16.289,                 4.3139,             0.00094786,             0.00094786,             0.00094786
                     15,                 3.8439,                  33.13,                 4.6759,                0.00152,                0.45455,                0.00125,                0.00023,                 3.4613,                 16.289,                 4.3139,             0.00095764,             0.00095764,             0.00095764
                     16,                   3.48,                 35.624,                 4.3904,                0.00152,                0.45455,                0.00125,                0.00023,                 3.4613,                 16.289,                 4.3139,              0.0009595,              0.0009595,              0.0009595
                     17,                 4.4523,                 41.045,                 4.9411,                0.00152,                0.45455,                0.00125,                0.00023,                 3.4613,                 16.289,                 4.3139,               0.000944,               0.000944,               0.000944
                     18,                 4.5662,                 34.748,                 6.1161,                0.00152,                0.45455,                0.00125,                0.00023,                 3.4613,                 16.289,                 4.3139,               0.000878,               0.000878,               0.000878
                     19,                 4.6891,                  52.41,                 5.1414,                 0.0003,                0.09091,                0.00107,                0.00024,                 4.0679,                 20.659,                  4.086,               0.000812,               0.000812,               0.000812
                     20,                 4.7703,                 57.488,                 5.2483,                 0.0003,                0.09091,                0.00107,                0.00024,                 4.0679,                 20.659,                  4.086,               0.000746,               0.000746,               0.000746
                     21,                  4.737,                 60.681,                 5.3188,                 0.0003,                0.09091,                0.00107,                0.00024,                 4.0679,                 20.659,                  4.086,                0.00068,                0.00068,                0.00068
                     22,                 3.8556,                 28.271,                 5.5658,                 0.0003,                0.09091,                0.00107,                0.00024,                 4.0679,                 20.659,                  4.086,               0.000614,               0.000614,               0.000614
                     23,                 4.9279,                 52.901,                 5.5623,                 0.0003,                0.09091,                0.00107,                0.00024,                 4.0679,                 20.659,                  4.086,               0.000548,               0.000548,               0.000548
                     24,                 3.6798,                 30.744,                 4.5406,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,               0.000482,               0.000482,               0.000482
                     25,                 2.6667,                 17.845,                 3.0632,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,               0.000416,               0.000416,               0.000416
                     26,                 3.0979,                 20.918,                  3.056,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,                0.00035,                0.00035,                0.00035
                     27,                 2.9567,                 29.141,                  2.358,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,               0.000284,               0.000284,               0.000284
                     28,                 2.5606,                 17.406,                 2.9072,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,               0.000218,               0.000218,               0.000218
                     29,                 2.3285,                 20.035,                  3.078,                0.00392,                0.90909,                0.06629,                  0.018,                 2.1172,                 11.622,                 2.9552,               0.000152,               0.000152,               0.000152
                     30,                 2.3985,                 17.407,                 2.6364,                0.02557,                0.90909,                 0.4248,                0.18831,                 1.0025,                 9.7253,                 2.2614,                8.6e-05,                8.6e-05,                8.6e-05
