                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 13.983,                      0,                      0,                      0,                      0,                      0,                      0,                 21.184,                      0,                0.00012,                0.00012,                0.00012
                      2,                      0,                 13.889,                      0,                      0,                      0,                      0,                      0,                      0,                 21.257,                      0,             0.00025485,             0.00025485,             0.00025485
                      3,                      0,                 13.568,                      0,                      0,                      0,                      0,                      0,                      0,                 21.252,                      0,             0.00038416,             0.00038416,             0.00038416
                      4,                      0,                 13.332,                      0,                      0,                      0,                      0,                      0,                      0,                 21.183,                      0,             0.00050792,             0.00050792,             0.00050792
                      5,                      0,                 13.105,                      0,                      0,                      0,                      0,                      0,                      0,                 21.183,                      0,             0.00062614,             0.00062614,             0.00062614
                      6,                      0,                 12.809,                      0,                      0,                      0,                      0,                      0,                      0,                 21.155,                      0,             0.00073882,             0.00073882,             0.00073882
                      7,                      0,                 12.685,                      0,                      0,                      0,                      0,                      0,                      0,                 21.155,                      0,             0.00084595,             0.00084595,             0.00084595
                      8,                      0,                 12.559,                      0,                      0,                      0,                      0,                      0,                      0,                 21.444,                      0,             0.00094754,             0.00094754,             0.00094754
                      9,                      0,                 12.148,                      0,                      0,                      0,                      0,                      0,                      0,                 21.444,                      0,              0.0010436,              0.0010436,              0.0010436
                     10,                      0,                 12.115,                      0,                      0,                      0,                      0,                      0,                      0,                 21.444,                      0,              0.0011341,              0.0011341,              0.0011341
                     11,                      0,                 12.128,                      0,                      0,                      0,                      0,                      0,                      0,                 21.444,                      0,               0.001219,               0.001219,               0.001219
                     12,                      0,                 11.679,                      0,                      0,                      0,                      0,                      0,                      0,                 19.633,                      0,              0.0012985,              0.0012985,              0.0012985
                     13,                      0,                 11.483,                      0,                      0,                      0,                      0,                      0,                      0,                 19.633,                      0,              0.0013723,              0.0013723,              0.0013723
                     14,                      0,                 11.453,                      0,                      0,                      0,                      0,                      0,                      0,                 19.633,                      0,              0.0014406,              0.0014406,              0.0014406
                     15,                      0,                 11.439,                      0,                      0,                      0,                      0,                      0,                      0,                 19.633,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                      0,                 11.421,                      0,                      0,                      0,                      0,                      0,                      0,                 30.818,                      0,               0.001406,               0.001406,               0.001406
                     17,                      0,                 10.811,                      0,                      0,                      0,                      0,                      0,                      0,                 30.818,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                      0,                 10.793,                      0,                      0,                      0,                      0,                      0,                      0,                 30.818,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                      0,                 10.803,                      0,                      0,                      0,                      0,                      0,                      0,                 30.818,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                      0,                 10.819,                      0,                      0,                      0,                      0,                      0,                      0,                 30.818,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                      0,                 10.605,                      0,                      0,                      0,                      0,                      0,                      0,                 9.6055,                      0,               0.001208,               0.001208,               0.001208
                     22,                      0,                 10.361,                      0,                      0,                      0,                      0,                      0,                      0,                 9.6055,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                      0,                 10.348,                      0,                      0,                      0,                      0,                      0,                      0,                 9.6055,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                      0,                 10.443,                      0,                      0,                      0,                      0,                      0,                      0,                 9.6055,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                      0,                 10.452,                      0,                      0,                      0,                      0,                      0,                      0,                 8.2412,                      0,              0.0010496,              0.0010496,              0.0010496
                     26,                      0,                 10.096,                      0,                      0,                      0,                      0,                      0,                      0,                 8.2412,                      0,                0.00101,                0.00101,                0.00101
